ad_id,page_name,ad_creative_body,impressions,clicks,ctr,topic,style
syn_00000,Online Shopping Page,Make online shopping easier today. Save time. See details.,33004,497,0.015058780753848018,online shopping,short and direct
syn_00001,Personal Finance App Page,"Last week I needed help with personal finance app, and found a better way. See results faster. Sign up now.",22392,352,0.015719899964272956,personal finance app,storytelling
syn_00002,Health And Wellness Page,The fast way to handle health and wellness. Save time. See details.,26050,464,0.017811900191938578,health and wellness,short and direct
syn_00003,Online Shopping Page,A few simple steps to improve online shopping. Improve quality. Try it today.,7103,149,0.02097705194988033,online shopping,advice
syn_00004,Books And Learning Page,Make books and learning easier today. Improve quality. Sign up now.,44484,795,0.01787159428108983,books and learning,short and direct
syn_00005,Travel Deals Page,The fast way to handle travel deals. Save time. Get started.,3939,64,0.01624777862401625,travel deals,short and direct
syn_00006,Travel Deals Page,A few simple steps to improve travel deals. Cut costs. Sign up now.,18704,320,0.01710863986313088,travel deals,advice
syn_00007,Local Business Page,Want to do better at local business? See results faster. Try it today.,23762,499,0.020999915832000674,local business,question
syn_00008,Health And Wellness Page,A few simple steps to improve health and wellness. See results faster. Learn more.,39947,752,0.018824943049540643,health and wellness,advice
syn_00009,Personal Finance App Page,"Last week I needed help with personal finance app, and found a better way. Cut costs. Sign up now.",10121,151,0.014919474360241082,personal finance app,storytelling
syn_00010,Fitness Coaching Page,The fast way to handle fitness coaching. Save time. Try it today.,38577,725,0.018793581667833164,fitness coaching,short and direct
syn_00011,Food And Beverage Page,Make food and beverage easier today. Improve quality. Learn more.,41747,814,0.01949840707116679,food and beverage,short and direct
syn_00012,Fitness Coaching Page,Want to do better at fitness coaching? Improve quality. Try it today.,40401,838,0.020742060840078215,fitness coaching,question
syn_00013,Local Business Page,Make local business easier today. Cut costs. Shop now.,1162,16,0.013769363166953529,local business,short and direct
syn_00014,Online Shopping Page,Want to do better at online shopping? Improve quality. See details.,25675,493,0.01920155793573515,online shopping,question
syn_00015,Fitness Coaching Page,"Last week I needed help with fitness coaching, and found a better way. See results faster. See details.",28782,473,0.016433882287540825,fitness coaching,storytelling
syn_00016,Online Shopping Page,Make online shopping easier today. Cut costs. See details.,29070,397,0.013656690746474028,online shopping,short and direct
syn_00017,Travel Deals Page,Want to do better at travel deals? Save time. Try it today.,32028,544,0.016985138004246284,travel deals,question
syn_00018,Travel Deals Page,The fast way to handle travel deals. See results faster. Shop now.,14406,298,0.020685825350548383,travel deals,short and direct
syn_00019,Personal Finance App Page,A few simple steps to improve personal finance app. Cut costs. See details.,20899,341,0.01631657017082157,personal finance app,advice
syn_00020,Fitness Coaching Page,"Last week I needed help with fitness coaching, and found a better way. Save time. Learn more.",7013,133,0.018964779694852416,fitness coaching,storytelling
syn_00021,Fitness Coaching Page,"When you are short on time for fitness coaching, this helps. Improve quality. See details.",28205,468,0.016592802694557703,fitness coaching,storytelling
syn_00022,Personal Finance App Page,The fast way to handle personal finance app. Save time. Get started.,35081,534,0.015221914996721873,personal finance app,short and direct
